2025-08-08 11:26:25,654 - PipelineTrainer - INFO - Using device: cuda
2025-08-08 11:26:25,654 - PipelineTrainer - INFO - Setting up data module...
2025-08-08 11:26:26,260 - PipelineTrainer - INFO - Data module setup completed
2025-08-08 11:26:26,261 - PipelineTrainer - INFO - Setting up model...
2025-08-08 11:26:26,787 - PipelineTrainer - INFO - Starting training...
2025-08-08 12:10:15,019 - PipelineTrainer - INFO - Epoch 33/50 - Train Loss: 0.118427, Val Loss: 0.496371
2025-08-08 12:11:34,046 - PipelineTrainer - INFO - Epoch 34/50 - Train Loss: 0.116875, Val Loss: 0.486590
2025-08-08 12:12:53,426 - PipelineTrainer - INFO - Epoch 35/50 - Train Loss: 0.115205, Val Loss: 0.483856
2025-08-08 12:14:12,803 - PipelineTrainer - INFO - Epoch 36/50 - Train Loss: 0.113607, Val Loss: 0.485009
2025-08-08 12:15:32,389 - PipelineTrainer - INFO - Epoch 37/50 - Train Loss: 0.111841, Val Loss: 0.487525
2025-08-08 12:16:51,339 - PipelineTrainer - INFO - Epoch 38/50 - Train Loss: 0.111165, Val Loss: 0.480568
2025-08-08 12:18:10,075 - PipelineTrainer - INFO - Epoch 39/50 - Train Loss: 0.109512, Val Loss: 0.470351
2025-08-08 12:19:29,497 - PipelineTrainer - INFO - Epoch 40/50 - Train Loss: 0.109017, Val Loss: 0.477056
2025-08-08 12:20:49,058 - PipelineTrainer - INFO - Epoch 41/50 - Train Loss: 0.107467, Val Loss: 0.472538
2025-08-08 12:22:07,914 - PipelineTrainer - INFO - Epoch 42/50 - Train Loss: 0.105988, Val Loss: 0.463024
2025-08-08 12:23:26,547 - PipelineTrainer - INFO - Epoch 43/50 - Train Loss: 0.105028, Val Loss: 0.463327
2025-08-08 12:24:45,762 - PipelineTrainer - INFO - Epoch 44/50 - Train Loss: 0.104555, Val Loss: 0.462916
2025-08-08 12:26:05,352 - PipelineTrainer - INFO - Epoch 45/50 - Train Loss: 0.103837, Val Loss: 0.454960
2025-08-08 12:27:24,551 - PipelineTrainer - INFO - Epoch 46/50 - Train Loss: 0.103032, Val Loss: 0.464650
2025-08-08 12:28:43,540 - PipelineTrainer - INFO - Epoch 47/50 - Train Loss: 0.102212, Val Loss: 0.459329
2025-08-08 12:30:02,290 - PipelineTrainer - INFO - Epoch 48/50 - Train Loss: 0.101376, Val Loss: 0.453092
2025-08-08 12:31:21,281 - PipelineTrainer - INFO - Epoch 49/50 - Train Loss: 0.100552, Val Loss: 0.452331
2025-08-08 12:32:40,892 - PipelineTrainer - INFO - Epoch 50/50 - Train Loss: 0.100137, Val Loss: 0.455419
2025-08-08 12:32:40,904 - PipelineTrainer - INFO - Training completed!
2025-08-08 12:32:40,904 - PipelineTrainer - INFO - Computing anomaly threshold...
2025-08-08 12:32:41,613 - PipelineTrainer - INFO - Anomaly threshold computed: 0.685654
